key,BR,DE,EE,EN,ES LATAM,ES,FR,IT,JA,KO,PL,PT,RU,TR,UA,ZHS,ZHT
EXIT,SAIR,VERLASSEN,LAHKU,EXIT,SALIR,SALIR,QUITTER,ESCI,退出,나가기,WYJŚCIE,SAIR,ВЫХОД,ÇIKIŞ,ВИХІД,退出,退出
PRESS ANY BUTTON REMAP,PRESSIONE QUALQUER BOTÃO,DRÜCKE EINE BELIEBIGE TASTE,VAJUTA ÜKSKÕIK MIS NUPPU,PRESS ANY BUTTON,PRESIONA CUALQUIER BOTÓN,PULSA CUALQUIER BOTÓN,APPUYER SUR UNE TOUCHE,PREMI QUALSIASI TASTO,任意のボタンを押してください,아무 버튼이나 누르기,NACIŚNIJ DOWOLNY PRZYCISK,PRESSIONA QUALQUER BOTÃO,НАЖМИТЕ ЛЮБУЮ КНОПКУ,HERHANGİ BİR TUŞA BASIN,НАТИСНІТЬ БУДЬ-ЯКУ КЛАВІШУ,按任意键,按任意鍵
GET UP,"LEVANTE-SE, %s!","STEH AUF, %s!","TÕUSE PÜSTI, %s!","GET UP, %s!","¡LEVÁNTATE, %s!","¡LEVÁNTATE, %s!","DEBOUT, %s !","ALZATI, %s!",起きろ%s！,"일어나, %s!","WSTAWAJ, %s!","LEVANTE-SE, %s!","ПОДНИМАЙСЯ, %s!","AYAĞA KALK, %s!","ВСТАВАЙТЕ, %s!",起来，%s！,起來，%s！
RUSSIAN,РУССКИЙ,РУССКИЙ,РУССКИЙ,РУССКИЙ,РУССКИЙ,РУССКИЙ,РУССКИЙ,РУССКИЙ,РУССКИЙ,РУССКИЙ,РУССКИЙ,РУССКИЙ,РУССКИЙ,РУССКИЙ,РУССКИЙ,РУССКИЙ,РУССКИЙ
REBINDING,RECONFIGURAR CONTROLES,STEUERUNG NEU ZUWEISEN,NUPPUDE ÜMBERSEADISTAMINE,REBIND CONTROLS,ENLAZAR CONTROLES,REASIGNAR CONTROLES,CONFIGURER LES TOUCHES,REIMPOSTA I COMANDI,操作キー再割り当て,컨트롤 재지정,ZMIEŃ STEROWANIE,CONFIGURAR CONTROLES,ИЗМЕНИТЬ УПРАВЛЕНИЕ,KONTROLLERİ YENİDEN ATA,ЗМІНИТИ КЕРУВАННЯ,重新绑定控制,重新設定控制
SELECT DEVICE,SELECIONAR DISPOSITIVO,GERÄT AUSWÄHLEN,VALI SEADELDIS,SELECT DEVICE,SELECCIONAR DISPOSITIVO,SELECCIONAR DISPOSITIVO,SÉLECTIONNER UN APPAREIL,SELEZIONA DISPOSITIVO,デバイス選択,기기 선택,WYBIERZ URZĄDZENIE,SELECIONAR DISPOSITIVO,ВЫБЕРИТЕ УСТРОЙСТВО,CİHAZ SEÇİN,ОБЕРІТЬ ПРИСТРІЙ,选择设备,選擇裝置
ENGLISH,ENGLISH,ENGLISH,ENGLISH,ENGLISH,ENGLISH,ENGLISH,ENGLISH,ENGLISH,ENGLISH,ENGLISH,ENGLISH,ENGLISH,ENGLISH,ENGLISH,ENGLISH,ENGLISH,ENGLISH
CONGRATULATIONS,"PARABÉNS, %s!","GLÜCKWUNSCH, %s!","PALJU ÕNNE, %s!","CONGRATULATIONS, %s!","¡ENHORABUENA, %s!","¡ENHORABUENA, %s!","FÉLICITATIONS, %s !","CONGRATULAZIONI, %s!",おめでとう%s！,축하합니다 %s!,"GRATULACJE, %s!","PARABÉNS, %s!","ПОЗДРАВЛЯЕМ, %s!","TEBRİKLER, %s!","ВІТАЄМО, %s!",恭喜，%s！,恭喜，%s！
UKRANIAN,УКРАЇНСЬКА,УКРАЇНСЬКА,УКРАЇНСЬКА,УКРАЇНСЬКА,УКРАЇНСЬКА,УКРАЇНСЬКА,УКРАЇНСЬКА,УКРАЇНСЬКА,УКРАЇНСЬКА,УКРАЇНСЬКА,УКРАЇНСЬКА,УКРАЇНСЬКА,УКРАЇНСЬКА,УКРАЇНСЬКА,УКРАЇНСЬКА,УКРАЇНСЬКА,УКРАЇНСЬКА
GERMAN,DEUTSCH,DEUTSCH,DEUTSCH,DEUTSCH,DEUTSCH,DEUTSCH,DEUTSCH,DEUTSCH,DEUTSCH,DEUTSCH,DEUTSCH,DEUTSCH,DEUTSCH,DEUTSCH,DEUTSCH,DEUTSCH,DEUTSCH
WAIVER,ASSINE O TERMO DE RESPONSABILIDADE.,"BITTE UNTERSCHREIBE 
DIE VERZICHTSERKLÄRUNG.",PALUN ALLKIRJASTA LEPING.,PLEASE SIGN THE WAIVER.,"POR FAVOR, FIRMA LA RENUNCIA","POR FAVOR, FIRMA LA RENUNCIA.",SIGNE LA DÉCHARGE DE RESPONSABILITÉ.,FIRMA LA LIBERATORIA.,免責同意書に署名してくれ,동의서에 싸인해 주십시오.,PODPISZ OŚWIADCZENIE.,"ASSINE O TERMO DE
RESPONSABILIDADE.",ПОДПИШИ ОТКАЗ ОТ ПРЕТЕНЗИЙ.,LÜTFEN FERAGATNAMEYİ İMZALAYIN.,ПІДПИШІТЬ ВІДМОВУ ВІД ПРЕТЕНЗІЙ.,请签署生死状,請簽署生死狀
LIVEROUND,%s MUNIÇÃO REAL.,%s SCHARFE MUNITION.,%s TERAV.,%s LIVE ROUND.,%s BALA CARGADA.,%s BALA CARGADA.,%s CARTOUCHE RÉELLE.,%s PROIETTILE VERO.,実包 %s 発,%s 실탄이야.,%s OSTRY NABÓJ.,%s MUNIÇÃO REAL.,%s БОЕВОЙ.,%s GERÇEK FİŞEK,%s БОЙОВИЙ.,%s 实弹,%s 實彈
MAGNIFIER,LUPA,LUPE,LUUP,MAGNIFYING GLASS,LUPA,LUPA,LOUPE,LENTE D'INGRANDIMENTO,虫メガネ,돋보기,LUPA,LUPA,ЛУПА,BÜYÜTEÇ,ЛУПА,放大镜,放大鏡
<!MissingKey:EXIT GAME>,SAIR DO JOGO,SPIEL BEENDEN,LAHKU MÄNGUST,EXIT GAME,SALIR DEL JUEGO,SALIR DEL JUEGO,QUITTER LE JEU,ESCI DAL GIOCO,ゲーム退出,게임 나가기,WYJŚCIE Z GRY,SAIR DO JOGO,ВЫЙТИ ИЗ ИГРЫ,OYUNDAN ÇIK,ВИЙТИ З ГРИ,退出游戏,退出遊戲
IMPAIR,PODE PREJUDICAR A SUA CAPACIDADE DE CONDUZIR,KANN DEINE FAHRTÜCHTIGKEIT BEEINTRÄCHTIGEN,VÕIB KAHJUSTADA TEIE JUHTIMISVÕIMET,MAY IMPAIR YOUR ABILITY TO DRIVE,PUEDE AFECTAR A TU CAPACIDAD PARA CONDUCIR,PUEDE AFECTAR A TU CAPACIDAD PARA CONDUCIR,PEUT AFFECTER VOTRE CAPACITÉ À CONDUIRE,POTREBBE COMPROMETTERE LA TUA CAPACITÀ DI GUIDA,運転能力を損なうおそれ,운전 능력에 영향을 줄 수 있습니다,MOŻE WPŁYNĄĆ NA ZDOLNOŚĆ PROWADZENIA POJAZDU,PODE PREJUDICAR A TUA CAPACIDADE DE CONDUZIR,МОЖЕТ ПОВЛИЯТЬ НА СПОСОБНОСТЬ К ВОЖДЕНИЮ,ARAÇ KULLANMA YETENEĞİNİZİ OLUMSUZ ETKİLEYEBİLİR,МОЖЕ ВПЛИНУТИ НА ЗДАТНІСТЬ ДО ВОДІННЯ,服药后请勿驾车,服藥後請勿駕車
INTERACT WITH,INTERAJA COM,INTERAGIEREN MIT,MÕJUTA KASUTADES,INTERACT WITH,INTERACTUAR,INTERACTÚA CON,INTERAGIR AVEC,INTERAGISCI CON,インタラクト,상호작용,"DZIAŁAJ, UŻYWAJĄC",INTERAJA COM,ВЗАИМОДЕЙСТВОВАТЬ,ŞUNUNLA KULLAN,ВЗАЄМОДІЯТИ:,互动,互動
RETURN,VOLTAR,ZURÜCK,TAGASI,RETURN,,VOLVER,REVENIR,TORNA INDIETRO,戻る,돌아가기,WRÓĆ,VOLTAR,НАЗАД,GERİ DÖN,НАЗАД,返回,返回
YOU,VOCÊ,DU,SINA,YOU,TÚ,TÚ,VOUS,TU,自分,나,TY,TU,ВЫ,SEN,ВИ,你,你
ROUNDS BEAT,RODADAS SUPERADAS,RUNDEN GESCHAFFT,VOORE LÄBITUD .....,ROUNDS BEAT ........,RONDAS GANADAS ........,RONDAS SUPERADAS,MANCHES GAGNÉES,ROUND VINTI,勝利ラウンド数……,승리한 라운드 수,ZWYCIĘSKIE RUNDY,RONDAS SUPERADAS .......,ВЫИГРАНО РАУНДОВ .....,KAZANILAN TURLAR,ВИГРАНО РАУНДІВ,完成回合数,完成回合數
CIGS SMOKED,CIGARROS FUMADOS,ZIGARETTEN GERAUCHT,SUITSU TEHTUD .....,CIGARETTES SMOKED ..,CIGARRILLOS FUMADOS ...,CIGARRILLOS FUMADOS,CIGARETTES FUMÉES,SIGARETTE FUMATE,吸ったタバコ本数…,피운 담배 대수,WYPALONE PAPIEROSY,ML DE CERVEJA BEBIDOS ..,ВЫКУРЕНО СИГАРЕТ .....,SIGARALAR İÇİLDİ,ВИКУРЕНО ЦИГАРОК,吸掉的香烟,吸掉的香煙
NAVIGATE RIGHT,MOVER PARA A DIREITA,NACH RECHTS BEWEGEN,LIIGU PAREMALE,MOVE RIGHT,DERECHA,DERECHA,DROITE,VAI A DESTRA,右,오른쪽 이동,RUCH W PRAWO,MOVER PARA A DIREITA,ДВИЖЕНИЕ ВПРАВО,SAĞA GİT,ВПРАВО,向右移动,向右移動
CIGARETTE,MAÇO DE CIGARROS,ZIGARETTENSCHACHTEL,SUITSUPAKK,CIGARETTE PACK,PAQUETE DE CIGARRILLOS,PAQUETE DE CIGARRILLOS,PAQUET DE CIGARETTES,PACCO DI SIGARETTE,タバコ,담배,PACZKA PAPIEROSÓW,MAÇO DE CIGARROS,ПАЧКА СИГАРЕТ,SİGARA PAKETİ,ПАЧКА ЦИГАРОК,香烟,香煙
RESET KEYBINDS,RESTAURAR CONFIGURAÇÃO DE TECLAS,STEUERUNG ZURÜCKSETZEN,TAASKÄIVITA NUPPUDE SEADISTUS,RESET KEYBINDS,REINICIAR ATAJOS,REINICIAR CONTROLES ASIGNADOS,CONFIGURATION PAR DÉFAUT,RESETTA I COMANDI,キー割り当てリセット,키 설정 초기화,PRZYWRÓĆ PRZYPISANIA,RESTAURAR CONFIGURAÇÃO DE TECLAS,СБРОСИТЬ НАЗНАЧЕНИЕ КЛАВИШ,TUŞLARI SIFIRLA,СКИНУТИ ПРИЗНАЧЕННЯ КЛАВІШ,重置按键绑定,重設按鍵
SEQUENCE4,QUARTO CARTUCHO.,VIERTE PATRONE.,NELJAS PADRUN ...,FOURTH SHELL ...,CUARTO CARTUCHO ...,CUARTO CARTUCHO.,QUATRIÈME CARTOUCHE.,QUARTO PROIETTILE.,四発目……,네 번째 탄,CZWARTY NABÓJ.,QUARTO CARTUCHO ...,ЧЕТВЕРТЫЙ ПАТРОН ...,DÖRDÜNCÜ FİŞEK,ЧЕТВЕРТИЙ ПАТРОН.,第四发子弹,第四發子彈
SEQUENCE5,QUINTO CARTUCHO.,FÜNFTE PATRONE.,VIIES PADRUN ...,FIFTH SHELL ...,QUINTO CARTUCHO ...,QUINTO CARTUCHO.,CINQUIÈME CARTOUCHE.,QUINTO PROIETTILE.,五発目……,다섯 번째 탄,PIĄTY NABÓJ.,QUINTO CARTUCHO ...,ПЯТЫЙ ПАТРОН ...,BEŞİNCİ FİŞEK,П'ЯТИЙ ПАТРОН.,第五发子弹,第五發子彈
MAGNIFIER DESC,"VERIFIQUE O CARTUCHO ATUAL
NA CÂMARA DA ARMA.","ÜBERPRÜFE DIE AKTUELLE RUNDE
IN DER KAMMER.",KONTROLLI KESTAHEITEAVA.,"CHECK THE CURRENT ROUND
IN THE CHAMBER.","VES CUÁL ES EL CARTUCHO
QUE HAY EN LA RECÁMARA.","VES EL CARTUCHO
QUE HAY EN LA RECÁMARA.","VÉRIFIEZ LA CARTOUCHE QUI EST 
DANS LA CHAMBRE.","PUOI CONTROLLARE IL PROIETTILE
PRESENTE IN CANNA.",薬室の弾を確認,"현재 약실에 장전된 탄을
 확인합니다.","SPRAWDŹ NABÓJ ZAŁADOWANY
DO KOMORY.","VERIFICA O CARTUCHO ATUAL
NA CÂMARA DA ARMA.","ВЗГЛЯНИТЕ НА ТЕКУЩИЙ ПАТРОН
В ПАТРОННИКЕ.",ŞARJÖRDEKİ MEVCUT MERMİYİ KONTROL ET.,"ГЛЯНЬТЕ НА ПОТОЧНИЙ ПАТРОН
У НАБІЙНИКУ.","检查弹膛中
 当前的子弹","檢查彈膛中
 當前的子彈"
SEQUENCE6,SEXTO CARTUCHO.,SECHSTE PATRONE.,KUUES PADRUN ...,SIXTH SHELL ...,SEXTO CARTUCHO ...,SEXTO CARTUCHO.,SIXIÈME CARTOUCHE.,SESTO PROIETTILE.,六発目……,여섯 번째 탄,SZÓSTY NABÓJ.,SEXTO CARTUCHO ...,ШЕСТОЙ ПАТРОН ...,ALTINCI FİŞEK,ШОСТИЙ ПАТРОН.,第六发子弹,第六發子彈
PORTUGUESE_BRAZIL,PORTUGUÊS (BRAZIL),PORTUGUÊS (BRAZIL),PORTUGUÊS (BRAZIL),PORTUGUÊS (BRAZIL),PORTUGUÊS (BRAZIL),PORTUGUÊS (BRAZIL),PORTUGUÊS (BRAZIL),PORTUGUÊS (BRAZIL),PORTUGUÊS (BRAZIL),PORTUGUÊS (BRAZIL),PORTUGUÊS (BRAZIL),PORTUGUÊS (BRAZIL),PORTUGUÊS (BRAZIL),PORTUGUÊS (BRAZIL),PORTUGUÊS (BRAZIL),PORTUGUÊS (BRAZIL),PORTUGUÊS (BRAZIL)
SEQUENCE7,SÉTIMO CARTUCHO.,SIEBTE PATRONE.,SEITSMES PADRUN ...,SEVENTH SHELL ...,SÉPTIMO CARTUCHO ...,SÉPTIMO CARTUCHO.,SEPTIÈME CARTOUCHE.,SETTIMO PROIETTILE.,七発目……,일곱 번째 탄,SIÓDMY NABÓJ.,SÉTIMO CARTUCHO ...,СЕДЬМОЙ ПАТРОН ...,YEDİNCİ FİŞEK,СЬОМИЙ ПАТРОН.,第七发子弹,第七發子彈
MAIN CREDITS,"PROGRAMAÇÃO, ARTE E TRILHA SONORA DE MIKE KLUBNIKA
INSPIRADO NO TRABALHO DE DANIEL MULLINS

""BLOODSPLATTER FX PACK"" DE MIA ROSADO
LICENCIADO SOB CREATIVE COMMONS
COM A LICENÇA DE ATRIBUIÇÃO 4.0

TESTADO POR NICK, POPSTONIA,
EKU E PATTHEHYRULER

OBRIGADO POR JOGAR!","CODE, GRAFIK UND SOUNDTRACK VON MIKE KLUBNIKA
INSPIRIERT VON DER ARBEIT VON DANIEL MULLINS

„BLOODSPLATTER FX PACK“ VON MIA ROSADO
IST LIZENZIERT UNTER EINEM CREATIVE COMMONS
ATTRIBUTION 4.0 LIZENZVERTRAG

GETESTET VON NICK, POPSTONIA,
EKU UND PATTHEHYRULER

DANKE FÜRS SPIELEN!","KOODI, KUNSTI JA MUUSIKA LÕI MIKE KLUBNIKA
INSPIREERITUD DANIEL MULLINSI TÖÖDEST

MIA ROSADO ""BLOODSPLATTER FX PACK""
ON CREATIVE COMMONS ATTRIBUTION 4.0
LITSENTSI ALL.

PROOVISID NICK, POPSTONIA,
EKU JA PATTHEHYRULER

AITÄH, ET MÄNGISID!","CODE, ART AND SOUNDTRACK BY MIKE KLUBNIKA
INSPIRED BY THE WORK OF DANIEL MULLINS

""BLOODSPLATTER FX PACK"" BY MIA ROSADO
IS LICENSED UNDER A CREATIVE COMMONS
ATTRIBUTION 4.0 LICENSE

PLAYTESTED BY NICK, POPSTONIA,
EKU AND PATTHEHYRULER

THANK YOU FOR PLAYING!","CÓDIGO, ARTE Y BANDA SONORA DE MIKE KLUBNIKA
INSPIRADO EN EL TRABAJO DE DANIEL MULLINS

EL ""PAQUETE DE EFECTOS DE SALPICADURA DE SANGRE"" DE MIA ROSADO
ESTÁ AUTORIZADO SEGÚN LA LICENCIA DE ATRIBUCIÓN 4.0
DE CREATIVE COMMONS

JUEGO PROBADO POR NICK, POPSTONIA,
EKU Y PATTHEHYRULER

¡GRACIAS POR JUGAR!","CÓDIGO, ARTE Y BANDA SONORA DE MIKE KLUBNIKA
INSPIRADO EN EL TRABAJO DE DANIEL MULLINS

EL ""BLOODSPLATTER FX PACK"" DE MIA ROSADO
ESTÁ AUTORIZADO SEGÚN LICENCIA DE ATRIBUCIÓN 4.0
DE CREATIVE COMMONS

JUEGO PROBADO POR NICK, POPSTONIA,
EKU Y PATTHEHYRULER

¡GRACIAS POR JUGAR!","CODE, ART ET BANDE ORIGINALE DE MIKE KLUBNIKA
INSPIRÉ PAR L'ŒUVRE DE DANIEL MULLINS

LE « BLOODSPLATTER FX PACK » DE MIA ROSADO
EST SOUS LICENCE CREATIVE COMMONS
ATTRIBUTION 4.0

JEU TESTÉ PAR NICK, POPSTONIA,
EKU ET PATTHEHYRULER

MERCI D'AVOIR JOUÉ !","PROGRAMMAZIONE, SVILUPPO ARTISTICO E COLONNA SONORA DI MIKE KLUBNIKA
ISPIRATO AL LAVORO DI DANIEL MULLINS

IL ""BLOODSPLATTER FX PACK"" DI MIA ROSADO
È REGISTRATO IN LICENZA DI ATTRIBUZIONE 4.0 CREATIVE COMMONS


TESTATO DA NICK, POPSTONIA,
EKU E PATTHEHYRULER

GRAZIE PER AVER GIOCATO!","コード、アート、サウンドトラックはMIKE KLUBNIKAが
 DANIEL MULLINSの作品から着想を得て製作しました
 
 MIA ROSADO作の「BLOODSPLATTER FX PACK」 
 にはクリエイティブ・コモンズ ライセンスが適用されています
 ライセンスの表記4.0
 
 ゲームテスター：NICK、POPSTONIA,
 EKU、PATTHEHYRULER
 
 このゲームで遊んでくださりありがとうございます！","코드, 아트 및 사운드트랙 MIKE KLUBNIKA
 DANIEL MULLINS의 작업에 영감을 받음
 
 ""BLOODSPLATTER FX PACK"" BY MIA ROSADO
 IS LICENSED UNDER A CREATIVE COMMONS
 ATTRIBUTION 4.0 LICENSE
 
 플레이테스터 NICK, POPSTONIA,
 EKU, PATTHEHYRULER
 
 플레이해 주셔서 감사합니다!","KOD, GRAFIKA I ŚCIEŻKA DŹWIĘKOWA: MIKE KLUBNIKA
GRA INSPIROWANA DZIEŁEM DANIELA MULLINSA

„PAKIET EFEKTÓW BLOODSPATTER”: MIA ROSADO
GRA OBJĘTA LICENCJĄ CREATIVE COMMONS
ATTRIBUTION 4.0

TESTY: NICK, POPSTONIA,
EKU ORAZ PATTHEHYRULER

DZIĘKUJEMY ZA GRĘ!","PROGRAMAÇÃO, ARTE E BANDA SONORA DE MIKE KLUBNIKA
INSPIRADO NO TRABALHO DE DANIEL MULLINS

""BLOODSPLATTER FX PACK"" DE MIA ROSADO
LICENCIADO SOB CREATIVE COMMONS
COM A LICENÇA DE ATRIBUIÇÃO 4.0

TESTADO POR NICK, POPSTONIA,
EKU E PATTHEHYRULER

OBRIGADO POR JOGAR!","КОД, ГРАФИКА И САУНДТРЕК: MIKE KLUBNIKA
ВДОХНОВЛЕНО РАБОТАМИ DANIEL MULLINS

""BLOODSPLATTER FX PACK"" ОТ MIA ROSADO
РАСПРОСТРАНЯЕТСЯ ПО ЛИЦЕНЗИИ
CREATIVE COMMONS ATTRIBUTION 4.0

ТЕСТИРОВАНИЕ ИГРЫ: NICK, POPSTONIA,
EKU И PATTHEHYRULER

СПАСИБО ЗА ИГРУ!","KOD, SANAT VE MÜZİK: MIKE KLUBNIKA
DANIEL MULLINS'İN ÇALIŞMALARINDAN ESİNLENİLMİŞTİR

""BLOODSPLATTER FX PACK"" MIA ROSADO TARAFINDAN
CREATIVE COMMONS KAPSAMINDA LİSANSLANMIŞTIR
KAYNAK 4.0 LİSANSI

OYUN TESTİ: NICK, POPSTONIA,
EKU VE PATTHEHYRULER

OYNADIĞINIZ İÇİN TEŞEKKÜRLER!","КОД, ГРАФІКА Й САУНДТРЕК: MIKE KLUBNIKA
НАТХНЕНО РОБОТАМИ DANIEL MULLINS

BLOODSPLATTER FX PACK ВІД MIA ROSADO
ПОШИРЮЄТЬСЯ ПО ЛІЦЕНЗІЇ
CREATIVE COMMONS ATTRIBUTION 4.0

ТЕСТУВАННЯ ГРИ: NICK, POPSTONIA,
EKU І PATTHEHYRULER

ДЯКУЄМО, ЩО ГРАЄТЕ!","代码、美术和配乐由 MIKE KLUBNIKA 创作
 灵感来自 DANIEL MULLINS 的作品
 
 “BLOODSPLATTER FX PACK”作者为 MIA ROSADO
 采用创作共用协议许可
 ATTRIBUTION 4.0 授权
 
 测试：NICK、POPSTONIA、
 EKU 与 PATTHEHYRULER
 
 感谢游玩！","代碼、美術和配樂由 MIKE KLUBNIKA 創作
 靈感來自 DANIEL MULLINS 的作品
 
「BLOODSPLATTER FX PACK」作者為 MIA ROSADO
 採用創作共用協議許可
 ATTRIBUTION 4.0 授權
 
 測試：NICK、POPSTONIA、
 EKU 與 PATTHEHYRULER
 
 感謝遊玩！"
SEQUENCE2,SEGUNDO CARTUCHO.,ZWEITE PATRONE,TEINE PADRUN ...,SECOND SHELL ...,SEGUNDO CARTUCHO ...,SEGUNDO CARTUCHO,DEUXIÈME CARTOUCHE.,SECONDO PROIETTILE.,二発目……,두 번째 탄,DRUGI NABÓJ,SEGUNDO CARTUCHO ...,ВТОРОЙ ПАТРОН ...,İKİNCİ FİŞEK,ДРУГИЙ ПАТРОН.,第二发子弹,第二發子彈
