key,BR,DE,EE,EN,ES LATAM,ES,FR,IT,JA,KO,PL,PT,RU,TR,UA,ZHS,ZHT
MP_UI LOBBY BLOCKED MEMBER,Falha ao entrar. Um usuário que você bloqueou está na sala.,Spiel konnte nicht beigetreten werden. In der Lobby befindet sich ein von dir geblockter Spieler.,"Ühendumine ebaõnnestus. Ruumis on mängija, kelle oled ära blokeerinud.",Failed to join. A user you have blocked is in the lobby.,No has podido unirte. Un usuario que has bloqueado está en la sala.,No has podido unirte. Un usuario al que has bloqueado está en la sala.,Impossible de rejoindre. Un utilisateur que vous avez bloqué se trouve dans le salon.,Impossibile unirsi: la lobby contiene un utente che hai bloccato.,参加失敗 ブロック中のユーザーがロビー参加中,연결하지 못하였습니다. 귀하께서 차단한 사용자가 해당 로비에 있습니다.,Nie udało się dołączyć. W lobby znajduje się zablokowany przez ciebie użytkownik.,Falha ao entrar. Um utilizador que bloqueaste está na sala.,Не удалось присоединиться; в данном лобби находится заблокированный вами пользователь.,Bağlantı kurulamadı. Bu lobide engellediğin bir kullanıcı var.,"Не вдалося підключитися. В лобі є гравець, якого ви заблокували.",加入失败。你屏蔽的某位用户在房间内。,加入失敗。你封鎖的玩家正在房間內。
MP_UI MATCH RESULTS,RESULTADOS DA PARTIDA:,MATCHERGEBNIS:,MÄNGU TULEMUSED:,MATCH RESULTS:,RESULTADOS DE LA PARTIDA:,RESULTADOS DE LA PARTIDA:,RÉSULTATS DE LA PARTIE :,RISULTATI:,マッチ結果：,매치 결과:,WYNIKI MECZU:,RESULTADOS DA PARTIDA:,ИТОГИ МАТЧА:,KAPIŞMA SONUÇLARI:,РЕЗУЛЬТАТИ:,比赛结果：,對戰成績：
CIGARETTE,MAÇO DE CIGARROS,ZIGARETTENSCHACHTEL,SUITSUPAKK,CIGARETTE PACK,PAQUETE DE CIGARRILLOS,PAQUETE DE CIGARRILLOS,PAQUET DE CIGARETTES,PACCO DI SIGARETTE,タバコ,담배,PACZKA PAPIEROSÓW,MAÇO DE CIGARROS,ПАЧКА СИГАРЕТ,SİGARA PAKETİ,ПАЧКА ЦИГАРОК,香烟,香煙
<!MissingKey:WORLDWIDE>,MUNDO TODO,WELTWEIT,ÜLEMAAILMNE,WORLDWIDE,GLOBAL,MUNDIAL,MONDIALE,MONDIALE,全世界,전 세계,CAŁY ŚWIAT,MUNDO TODO,ПО ВСЕМУ МИРУ,DÜNYA ÇAPINDA,ПО ВСЬОМУ СВІТУ,全球,全世界
ESTONIA,EESTI,EESTI,EESTI,EESTI,EESTI,EESTI,EESTI,EESTI,EESTI,EESTI,EESTI,EESTI,EESTI,EESTI,EESTI,EESTI,EESTI
WAIVER,ASSINE O TERMO DE RESPONSABILIDADE.,"BITTE UNTERSCHREIBE 
DIE VERZICHTSERKLÄRUNG.",PALUN ALLKIRJASTA LEPING.,PLEASE SIGN THE WAIVER.,"POR FAVOR, FIRMA LA RENUNCIA","POR FAVOR, FIRMA LA RENUNCIA.",SIGNE LA DÉCHARGE DE RESPONSABILITÉ.,FIRMA LA LIBERATORIA.,免責同意書に署名してくれ,동의서에 싸인해 주십시오.,PODPISZ OŚWIADCZENIE.,"ASSINA O TERMO DE
RESPONSABILIDADE.",ПОДПИШИ ОТКАЗ ОТ ПРЕТЕНЗИЙ.,LÜTFEN FERAGATNAMEYİ İMZALA.,ПІДПИШІТЬ ВІДМОВУ ВІД ПРЕТЕНЗІЙ.,请签署生死状。,請簽署生死狀。
MP_UI STARTING HEALTH,VIDA INICIAL,ANFANGSGESUNDHEIT,ALGSED ELUD:,STARTING HEALTH,SALUD INICIAL,SALUD INICIAL,SANTÉ INITIALE,VITA INIZIALE,開始体力,시작 체력,POCZĄTKOWE ZDROWIE,SAÚDE INICIAL,НАЧАЛЬНОЕ ЗДОРОВЬЕ,BAŞLANGIÇ CANI,СТАРТОВЕ ЗДОРОВ'Я,初始生命值,開場生命值
RETURN,VOLTAR,ZURÜCK,TAGASI,RETURN,VOLVER,VOLVER,REVENIR,TORNA INDIETRO,戻る,돌아가기,WRÓĆ,VOLTAR,НАЗАД,GERİ,НАЗАД,返回,返回
<!MissingKey:HOLD '%s' TO LOOK AROUND>,PRESSIONE  '%s'  PARA OLHAR AO REDOR,"„%s“ GEDRÜCKT HALTEN, UM DICH UMZUSEHEN","HOIA '%s' ALL, ET RINGI VAADATA",HOLD '%s' TO LOOK AROUND,MANTÉN PULSADO '%s' PARA MIRAR ALREDEDOR,MANTÉN PULSADO '%s' PARA MIRAR ALREDEDOR,MAINTENIR '%s' POUR REGARDER AUTOUR DE VOUS,TIENI PREMUTO '%s' PER GUARDARTI ATTORNO,%sで見回す,%s' 키를 눌러 자유롭게 둘러볼 수 있습니다,"PRZYTRZYMAJ %s, ABY SIĘ ROZEJRZEĆ","MANTÉM PREMIDO ""%"" PARA VERES À TUA VOLTA","ЗАЖМИТЕ '%s', ЧТОБЫ ОСМОТРЕТЬСЯ",ETRAFA BAKMAK İÇİN BASILI TUT: %s,"ЗАТИСНІТЬ '%s', ЩОБ ОГЛЯНУТИСЯ",按住 '%s' 环顾四周,長按'%s'環顧四周
CONSUME,TOMAR COMPRIMIDOS?,PILLEN NEHMEN?,NEELA ALLA?,CONSUME PILLS?,¿QUIERES TOMAR LAS PASTILLAS?,¿QUIERES TOMAR LAS PASTILLAS?,PRENDRE LES CACHETS ?,VUOI INGERIRE LE PILLOLE?,薬を服用？,알약을 먹을까요?,ŁYKASZ PIGUŁKI?,TOMAR COMPRIMIDOS?,ВЫПИТЬ ТАБЛЕТКИ?,HAPLAR KULLANILSIN MI,ПРИЙНЯТИ ПІГУЛКИ?,是否吃药？,是否吃藥？
START,INICIAR,START,ALUSTA,START,EMPEZAR,EMPEZAR,DÉMARRER,INIZIA,開始,시작,START,INICIAR,НАЧАТЬ,BAŞLA,ПОЧАТИ ГРУ,开始,開始
MP_AVAILABLE LOBBIES,LOBBIES DISPONÍVEIS,VERFÜGBARE LOBBYS,VABAD RUUMID,AVAILABLE LOBBIES,SALAS DISPONIBLES,SALAS DISPONIBLES,SALONS DISPONIBLES,PARTITE DISPONIBILI,参加可能ロビー,입장 가능한 로비,DOSTĘPNE LOBBY,LOBBIES DISPONÍVEIS,ДОСТУПНЫЕ ЛОББИ,MEVCUT LOBİLER,ДОСТУПНІ ЛОБІ,可用房间,可加入的房間
RETRY,TENTAR NOVAMENTE,NEUER VERSUCH,UUESTI,RETRY,VOLVER A INTENTAR,REINTENTAR,RÉESSAYER,RIPROVA,再挑戦,재시도,SPRÓBUJ PONOWNIE,TENTAR NOVAMENTE,ЕЩЕ РАЗ,TEKRAR DENE,ЩЕ РАЗ,重试,重試
IMPAIR,PODE PREJUDICAR A SUA CAPACIDADE DE CONDUZIR,KANN DEINE FAHRTÜCHTIGKEIT BEEINTRÄCHTIGEN,VÕIB KAHJUSTADA TEIE JUHTIMISVÕIMET,MAY IMPAIR YOUR ABILITY TO DRIVE,PUEDE AFECTAR A TU CAPACIDAD PARA CONDUCIR,PUEDE AFECTAR A TU CAPACIDAD PARA CONDUCIR,PEUT AFFECTER VOTRE CAPACITÉ À CONDUIRE,POTREBBE COMPROMETTERE LA TUA CAPACITÀ DI GUIDA,運転能力を損なう恐れ,운전 능력에 영향을 줄 수 있습니다,MOŻE WPŁYNĄĆ NA ZDOLNOŚĆ PROWADZENIA POJAZDU,PODE PREJUDICAR A TUA CAPACIDADE DE CONDUZIR,МОЖЕТ ПОВЛИЯТЬ НА СПОСОБНОСТЬ К ВОЖДЕНИЮ,ARAÇ KULLANMA BECERİNİ OLUMSUZ ETKİLEYEBİLİR,МОЖЕ ВПЛИНУТИ НА ЗДАТНІСТЬ ДО ВОДІННЯ,服药后请勿驾车,服藥後請勿駕車
MP_UI LOBBY ID PASTE JOIN,ENTRAR COM ID DA SALA,MIT LOBBY-ID BEITRETEN,LIITU RUUMI ID-GA,JOIN WITH LOBBY ID,ENTRAR CON EL ID DE LA SALA,ENTRAR CON EL ID DE SALA,REJOINDRE AVEC UN ID DE SALON,UNISCITI A LOBBY VIA ID,ロビーIDで参加,로비 ID로 참가하기,DOŁĄCZ PRZY UŻYCIU ID LOBBY,ENTRAR COM ID DO LOBBY,ЗАЙТИ С ПОМОЩЬЮ КОДА ЛОББИ,LOBİ KİMLİĞİYLE BAĞLAN,ПРИЄДНАТИСЯ ЗА ДОПОМОГОЮ КОДУ ЛОБІ,使用大厅ID加入,以房間ID加入
SHOTS FIRED,TIROS DISPARADOS,SCHÜSSE ABGEFEUERT,LASKE TULISTATUD,SHOTS FIRED,TIROS DISPARADOS,DISPAROS REALIZADOS,COUPS TIRÉS,COLPI SPARATI,発砲数,탄 발사 수,WYSTRZELONE POCISKI,TIROS DISPARADOS,СДЕЛАНО ВЫСТРЕЛОВ ....,YAPILAN ATIŞ:,ЗРОБЛЕНО ПОСТРІЛІВ,发射的子弹,發射的子彈
NO SPACE,SEM ESPAÇO.,KEIN PLATZ MEHR.,RUUMI POLE.,OUT OF SPACE.,NO TE QUEDA ESPACIO.,NO TE QUEDA ESPACIO.,PLUS DE PLACE.,SPAZIO INSUFFICIENTE.,空いてないぞ,공간이 없군.,BRAK MIEJSCA.,SEM ESPAÇO.,НЕТ МЕСТА.,YERİN KALMAMIŞ.,НЕМАЄ МІСЦЯ.,空间不足。,空間不足。
PLAYERWIN,%s GANHOU!,%s GEWINNT!,%s VÕITIS!,%s WINS!,¡%s GANA!,¡%s GANA!,%s GAGNE !,VINCE %s!,%s勝利！,%s 승리!,%s WYGRYWA!,%s GANHOU!,%s ПОБЕЖДАЕТ!,%s KAZANDI!,%s ПЕРЕМАГАЄ!,%s 获胜！,%s 獲勝！
MP_LOBBY SEARCH LABEL,PROCURAR LOBBIES,LOBBYS SUCHEN,OTSI VABU RUUME,SEARCH FOR LOBBIES,BUSCAR SALAS,BUSCAR SALAS,RECHERCHER UN SALON,TROVA PARTITA,ロビー検索,로비 검색,SZUKAJ LOBBY,PROCURAR LOBBIES,ПОИСК ЛОББИ,LOBİ ARA,ПОШУК ЛОБІ,搜索房间,搜尋房間
MP_UI DISCONNECT,DESCONECTAR,VERBINDUNG TRENNEN,LAHKU,DISCONNECT,DESCONECTAR,DESCONECTAR,SE DÉCONNECTER,DISCONNETTI,退室,연결 끊기,ROZŁĄCZ,DESLIGAR,ОТКЛЮЧИТЬСЯ,AYRIL,ВІД'ЄДНАТИ,断开连接,中斷連線
MP_SET RANGE,ESCOPO: %s,REICHWEITE: %s,KAUGUS: %s,RANGE: %s,ALCANCE: %s,RANGO: %s,PORTÉE : %s,AREA: %s,範囲：%s,범위: %s,ZAKRES: %s,DISTÂNCIA: %s,ДИАПАЗОН ПОИСКА: %s,ARALIK: %s,ДІАПАЗОН: %s,范围：%s,範圍：%s
<!MissingKey:IS ALREADY ASSIGNED TO %s. DO YOU WISH TO OVERWRITE THE ACTION?>,JÁ ESTÁ ATRIBUÍDO A %s. DESEJA SUBSTITUIR A AÇÃO?,IST BEREITS %s ZUGEWIESEN. MÖCHTEST DU DIE AKTION ÜBERSCHREIBEN?,ON JUBA SEADISTATUD %s NUPULE. KAS SOOVID ÜLEKIRJUTADA?,IS ALREADY ASSIGNED TO %s. DO YOU WISH TO OVERWRITE THE ACTION?,YA ESTÁ ASIGNADO A %s. ¿QUIERES REASIGNAR ESTA ACCIÓN?,YA ESTÁ ASIGNADO A %s. ¿QUIERES REASIGNAR ESTA ACCIÓN?,"EST DÉJÀ ATTRIBUÉ À %s. 
SOUHAITEZ-VOUS REMPLACER L'ACTION ?",TASTO GIÀ ASSEGNATO ALL'AZIONE %s. VUOI SOVRASCRIVERE L'AZIONE?,%sに割当済み 操作上書き？,이미 %s에 배정되어 있습니다. 액션을 덮어쓰기 할까요?,JUŻ JEST PRZYPISANE DO %s. CHCESZ ZASTĄPIĆ PRZYPISANIE?,JÁ ESTÁ ATRIBUÍDO A %s. QUERES SUBSTITUIR A AÇÃO?,— УЖЕ НАЗНАЧЕНО: %s. ИЗМЕНИТЬ ЭТО ДЕЙСТВИЕ?,ZATEN %s TUŞUNA ATANMIŞ. BU EYLEMİ GEÇERSİZ KILMAK İSTİYOR MUSUN?,— УЖЕ ПРИЗНАЧЕНО: %s. ЗМІНИТИ ЦЮ ДІЮ?,已分配给 %s。是否要覆盖该操作？,已分配給 %s。是否要覆蓋該操作？
DEAD,VOCÊ MORREU,DU BIST TOT,SA OLED SURNUD,YOU ARE DEAD,HAS MUERTO,HAS MUERTO,VOUS AVEZ PÉRI,SEI MORTO,死亡,사망,NIE ŻYJESZ,MORREU,ВЫ МЕРТВЫ,ÖLDÜN,ВИ МЕРТВІ,你死了,你死了
ARE YOU READY,TUDO PRONTO?,BIST DU BEREIT?,OLED VALMIS?,ARE YOU READY?,¿TODO LISTO?,¿TODO LISTO?,C'EST PARTI ?,INIZIAMO?,覚悟はいいか？,준비 됐나?,CZY JESTEŚ GOTÓW?,PRONTO?,ГОТОВ?,HAZIR MISIN?,ПОЧНЕМО?,准备好了吗？,準備好了嗎？
PHONE,TELEFONE DESCARTÁVEL,BURNER-TELEFON,ÜHEKORDNE TELEFON,BURNER PHONE,TELÉFONO QUEMADOR,TELÉFONO DE PREPAGO,PORTABLE PRÉPAYÉ,TELEFONO USA E GETTA,使い捨て携帯,대포폰,JEDNORAZOWY TELEFON,TELEFONE DESCARTÁVEL,ОДНОРАЗОВЫЙ ТЕЛЕФОН,KULLAN AT TELEFON,ОДНОРАЗОВИЙ ТЕЛЕФОН,一次性手机,一次性手機
<!MissingKey:PLAY AGAIN?>,JOGAR NOVAMENTE?,NOCH MAL SPIELEN?,MÄNGI UUESTI?,PLAY AGAIN?,¿VOLVER A JUGAR?,¿VOLVER A JUGAR?,REJOUER ?,GIOCA ANCORA?,再プレイ？,다시 플레이하시겠습니까?,CHCESZ ZAGRAĆ JESZCZE RAZ?,QUERES JOGAR NOVAMENTE?,СЫГРАТЬ ЕЩЕ РАЗ?,TEKRAR OYNAMAK İSTER MİSİN?,ЗІГРАТИ ЩЕ РАЗ?,再玩一次？,再玩一次？
MP_UI KICK,EXPULSAR,KICKEN,VISKA VÄLJA,KICK,EXPULSAR,EXPULSAR,EXCLURE,ESPELLI,キック,쫓아내기,WYRZUĆ,EXPULSAR,ИСКЛЮЧИТЬ,OYUNDAN AT,ВИГНАТИ,踢出,踢出
MP_UI RETURN TO MENU,RETORNAR AO MENU PRINCIPAL,ZURÜCK ZUM HAUPTMENÜ,LAHKU PEAMENÜÜSSE,RETURN TO MAIN MENU,VOLVER AL MENÚ PRINCIPAL,VOLVER AL MENÚ PRINCIPAL,REVENIR AU MENU PRINCIPAL,RITORNA AL MENÙ PRINCIPALE,メインメニューへ戻る,메인 메뉴로 돌아가기,POWRÓT DO MENU,VOLTAR AO MENU PRINCIPAL,В ГЛАВНОЕ МЕНЮ,ANA MENÜYE DÖN,ПОВЕРНУТИСЯ В ГОЛОВНЕ МЕНЮ,返回主菜单,返回主選單
MP_UI MOST RESOURCEFUL,MAIOR CRIATIVIDADE,DER EINFALLSREICHSTE,KÕIGE LEIDLIKUM,MOST RESOURCEFUL,MÁS PERSPICAZ,EL MAYOR INGENIO,LE PLUS ASTUCIEUX,PIÙ INGEGNOSO,知恵者,최다 아이템 보유,NAJBARDZIEJ ZARADNY GRACZ,MAIS ENGENHOSO,САМЫЙ НАХОДЧИВЫЙ,EN BECERİKLİ,НАЙВИНАХІДЛИВІШИЙ,最足智多谋,策士
MP_UI WAITING FOR PLAYERS,ESPERANDO POR JOGADORES,WARTE AUF SPIELER,MÄNGIJAD ON SAABUMAS,WAITING FOR PLAYERS,ESPERANDO JUGADORES,ESPERANDO A LOS JUGADORES,EN ATTENTE DE JOUEURS,IN ATTESA DI GIOCATORI,プレイヤー待機中,다른 플레이어 기다리는 중,OCZEKIWANIE NA GRACZY,À ESPERA DE JOGADORES,ЖДЕМ ДРУЗЕЙ,OYUNCULAR BEKLENİYOR,ЧЕКАЄМО НА ГРАВЦІВ,等待玩家中,正在等待其他玩家
THE NIGHT,A NOITE É UMA CRIANÇA.,DIE NACHT IST NOCH JUNG.,ÖÖ ON NOOR.,THE NIGHT IS YOUNG.,LA NOCHE ES JOVEN.,LA NOCHE ES JOVEN.,LA NUIT NE FAIT QUE COMMENCER.,LA NOTTE È GIOVANE.,夜はこれからだ,아직 밤은 이르다고.,NOC JEST JESZCZE MŁODA.,A NOITE É UMA CRIANÇA.,НОЧЬ ТОЛЬКО НАЧАЛАСЬ.,GECE DAHA YENİ BAŞLIYOR.,УСЯ НІЧ ПОПЕРЕДУ.,夜色尚早。,夜色尚早。
MEDICINE,REMÉDIO EXPIRADO,ABGELAUFENE MEDIKAMENTE,AEGUNUD RAVIM,EXPIRED MEDICINE,MEDICINA VENCIDA,MEDICINA CADUCADA,MÉDICAMENT PÉRIMÉ,MEDICINA SCADUTA,期限切れ薬,상한 약,PRZETERMINOWANY LEK,REMÉDIO EXPIRADO,ПРОСРОЧЕННОЕ ЛЕКАРСТВО,SON KULLANMA TARİHİ GEÇMİŞ İLAÇ,ПРОСТРОЧЕНІ ЛІКИ,过期药品,過期藥品
TOTAL CASH,TOTAL DE DINHEIRO:,GESAMTGELD:,RAHA:,TOTAL CASH:,TOTAL DE EFECTIVO:,TOTAL DE EFECTIVO:,ARGENT TOTAL :,VINCITA TOTALE:,現金総額：,총 획득 캐시:,ŁĄCZNIE GOTÓWKA:,TOTAL DE DINHEIRO:,ВСЕГО ДЕНЕГ:,TOPLAM NAKİT:,ВИ ЗАРОБИЛИ:,现金总额：,現金總額：
MP_UI CONTINUE,CONTINUAR,FORTFAHREN,JÄTKA,CONTINUE,CONTINUAR,CONTINUAR,CONTINUER,CONTINUA,続行,계속하기,KONTYNUUJ,CONTINUAR,ПРОДОЛЖИТЬ,DEVAM ET,ПРОДОВЖИТИ,继续,繼續
POLISH,POLSKI,POLSKI,POLSKI,POLSKI,POLSKI,POLSKI,POLSKI,POLSKI,POLSKI,POLSKI,POLSKI,POLSKI,POLSKI,POLSKI,POLSKI,POLSKI,POLSKI
CONTROLLER,CONTROLE,STEUERUNG,RIISTVARA,CONTROLLER,CONTROL,MANDO,MANETTE,CONTROLLER,コントローラー,컨트롤러,KONTROLER,CONTROLO,КОНТРОЛЛЕР,KONTROLLER,КОНТРОЛЕР,控制器,控制器
INTERESTING,MUITO INTERESSANTE ...,SEHR INTERESSANT ...,VÄGA HUVITAV ...,VERY INTERESTING ...,MUY INTERESANTE...,MUY INTERESANTE...,TRÈS INTÉRESSANT…,MOLTO INTERESSANTE...,なるほどな……,아주 재미있군...,BARDZO INTERESUJĄCE...,MUITO INTERESSANTE ...,ОЧЕНЬ ЛЮБОПЫТНО...,ÇOK İLGİNÇ...,ДУЖЕ ЦІКАВО…,真有意思……,真有意思……
MP_UI MULTIPLAYER,MULTIJOGADOR,MEHRSPIELER,MITMIKPELA,MULTIPLAYER,MULTIJUGADOR,MULTIJUGADOR,MULTIJOUEURS,MULTIGIOCATORE,マルチプレイヤー,멀티플레이어,GRA WIELOOSOBOWA,MULTIJOGADOR,МУЛЬТИПЛЕЕР,ÇOK OYUNCULU,БАГАТООСІБНА ГРА,多人游戏,多人
MP_UI THE WEALTHIEST,MAIOR RIQUEZA,DER WOHLHABENDSTE,KÕIGE RIKKAM,THE WEALTHIEST,MAYOR DINERAL,EL MÁS ADINERADO,LE PLUS RICHE,PIÙ RICCO,大富豪,최고 자산가,NAJBOGATSZY GRACZ,MAIS RICO,САМЫЙ БОГАТЫЙ,EN ZENGİN,НАЙБАГАТШИЙ,最财大气粗,大富豪
MP_UI HOST,ANFITRIÃO,HOST,PEREMEES,HOST,ANFITRIÓN,ANFITRIÓN,HÔTE,HOST,ホスト,호스트,HOST,ANFITRIÃO,ХОСТ,KUR,ХОСТ,主持人,房主
RESET KEYBINDS,RESTAURAR CONFIGURAÇÃO DE TECLAS,STEUERUNG ZURÜCKSETZEN,TAASKÄIVITA NUPPUDE SEADISTUS,RESET KEYBINDS,REINICIAR ATAJOS,REINICIAR CONTROLES ASIGNADOS,CONFIGURATION PAR DÉFAUT,RESETTA I COMANDI,キー割当リセット,키 설정 초기화,PRZYWRÓĆ PRZYPISANIA,RESTAURAR CONFIGURAÇÃO DE TECLAS,СБРОСИТЬ НАЗНАЧЕНИЕ КЛАВИШ,TUŞ ATAMALARINI SIFIRLA,СКИНУТИ ПРИЗНАЧЕННЯ КЛАВІШ,重置按键绑定,重設按鍵
CONGRATULATIONS,"PARABÉNS, %s!","GLÜCKWUNSCH, %s!","PALJU ÕNNE, %s!","CONGRATULATIONS, %s!","¡ENHORABUENA, %s!","¡ENHORABUENA, %s!","FÉLICITATIONS, %s !","CONGRATULAZIONI, %s!",おめでとう%s！,축하합니다 %s!,"GRATULACJE, %s!","PARABÉNS, %s!","ПОЗДРАВЛЯЕМ, %s!",TEBRİKLER %s!,"ВІТАЄМО, %s!",恭喜，%s！,恭喜，%s！
<!MissingKey:Failed to join. The game has already started.>,Falha ao juntar-se. O jogo já iniciou.,Spiel konnte nicht beigetreten werden. Das Spiel hat bereits begonnen.,Ühendumine ebaõnnestus. Mäng on juba alanud.,Failed to join. The game has already started.,No pudiste entrar. La partida ya comenzó.,No has logrado entrar. La partida ya ha comenzado.,Impossible de rejoindre. La partie a déjà commencé.,Impossibile unirsi. La partita è già iniziata.,参加失敗 ゲーム開始済み,참가할 수 없습니다. 게임이 이미 시작되었습니다.,Nie udało się dołączyć. Gra już się rozpoczęła.,Falha ao juntares-te. O jogo já iniciou.,Не удалось присоединиться: игра уже началась.,Bağlanılamadı. Oyun zaten başlamış.,Не вдалося приєднатися. Гра вже почалася.,加入失败，游戏已开始。,加入失敗。遊戲已開始。
